CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,-,-,780,"2,396.20","2,706.85","1,690","23,100.00","3,29,160",0.20,0.25,"4,16,130",-1.30,0.20,69.84,"2,16,844","-59,263","58,503",
,1,-,-,-,-,-,780,"2,349.10","2,598.55",780,"23,150.00","6,96,605",0.15,0.20,"2,43,295",-1.25,0.20,67.83,"43,252","-2,480","12,592",
,6,-,-,-,-,-,130,"2,314.00","2,504.15",65,"23,200.00","1,33,770",0.25,0.30,"1,83,885",-1.35,0.30,67.25,"66,239","-10,776","17,483",
,4,-,-,-,-,-,780,"2,261.90","2,460.35",845,"23,250.00","44,850",0.25,0.30,"42,900",-1.30,0.30,66.60,"9,703",-281,"1,985",
,6,-,1,-,"2,378.00",85.00,65,"2,345.70","2,391.00",845,"23,300.00","1,02,440",0.20,0.25,"77,545",-1.50,0.20,64.67,"48,582","-7,142","9,505",
,3,-,-,-,-,-,780,"2,276.55","2,319.65",130,"23,350.00","30,355",0.25,0.30,"22,165",-1.50,0.25,63.99,"10,884",-938,"1,775",
,3,-,-,-,-,-,780,"2,228.05","2,267.75",65,"23,400.00","96,915",0.25,0.30,"45,695",-1.45,0.25,62.69,"18,694","-2,983","3,055",
,3,-,-,-,-,-,780,"2,166.10","2,230.75",845,"23,450.00","33,800",0.25,0.30,"25,090",-1.50,0.30,60.79,"7,328","-1,264","2,498",
,70,-,14,-,"2,160.00",-29.95,"1,105","2,145.00","2,164.35",195,"23,500.00","6,90,105",0.20,0.25,"4,67,805",-1.55,0.25,59.50,"1,22,429","-29,905","29,985",
,3,-,-,-,-,-,780,"2,071.85","2,121.00",130,"23,550.00","84,630",0.25,0.30,"67,665",-1.60,0.25,58.22,"16,738","-3,539","3,909",
,6,-,-,59.77,-,-,780,"2,026.90","2,107.15",845,"23,600.00","1,27,985",0.25,0.30,"85,930",-1.60,0.30,57.49,"45,244","-9,139","6,425",
,4,-,-,-,-,-,65,"1,984.85","2,057.95",65,"23,650.00","57,850",0.20,0.25,"77,090",-1.80,0.20,56.19,"32,843","-1,192","4,894",
,5,-,-,-,-,-,780,"1,936.30","1,967.70",130,"23,700.00","4,27,115",0.20,0.25,"1,48,395",-1.80,0.25,54.35,"46,896","-2,416","14,303",
,3,-,-,-,-,-,780,"1,872.80","1,924.50",65,"23,750.00","44,070",0.25,0.30,"59,995",-1.90,0.25,53.07,"35,895",-271,"5,304",
,8,-,2,73.89,"1,910.00",110.00,65,"1,850.75","1,869.70",325,"23,800.00","3,12,130",0.25,0.30,"1,41,960",-2.05,0.25,51.78,"47,340","-5,918","11,289",
,3,-,-,-,-,-,780,"1,768.60","1,835.00",845,"23,850.00","90,545",0.30,0.35,"58,500",-2.10,0.35,50.49,"16,884",330,"4,331",
,4,-,-,-,-,-,780,"1,732.50","1,765.75",65,"23,900.00","5,21,560",0.25,0.30,"1,29,935",-2.20,0.30,50.17,"34,505","-4,431","7,467",
,6,-,-,-,-,-,780,"1,673.65","1,725.60",65,"23,950.00","84,045",0.30,0.35,"50,245",-2.30,0.30,48.86,"24,066",-619,"6,057",
,415,-9,22,83.75,"1,660.25",-37.45,130,"1,660.20","1,665.35",65,"24,000.00","14,60,680",0.25,0.30,"13,58,955",-2.55,0.30,46.63,"4,61,878","-51,802","1,14,620",
,4,-,-,-,-,-,780,"1,586.05","1,617.50",65,"24,050.00","59,410",0.30,0.35,"69,095",-2.60,0.30,45.81,"22,922","-1,284","5,172",
